ActionInfo: 733 objects, 0 errors, leftover bytes distinct=[4, 8, 24]
ActionStatusInfo: 424 objects, 0 errors, leftover bytes distinct=[0]
BattleInfo: 14 objects, 0 errors, leftover bytes distinct=[0]
CharacterAttribute: 321 objects, 0 errors, leftover bytes distinct=[0]
CharacterInfo: 388 objects, 81 errors, leftover bytes distinct=[0, 4, 8, 24, 28]
CharacterPresetFile: 46 objects, 0 errors, leftover bytes distinct=[0]
CraftingRecipe: 279 objects, 0 errors, leftover bytes distinct=[0]
DifficultySettings: 1 objects, 0 errors, leftover bytes distinct=[0]
EndGameSettings: 1 objects, 0 errors, leftover bytes distinct=[0]
EnemyMod: 43 objects, 0 errors, leftover bytes distinct=[0]
EnemySetInfo: 5 objects, 0 errors, leftover bytes distinct=[0]
EventStatus: 177 objects, 0 errors, leftover bytes distinct=[0]
FishingHole: 7 objects, 0 errors, leftover bytes distinct=[0]
FishingPoleInfo: 1 objects, 0 errors, leftover bytes distinct=[0]
FishingSpotSetup: 29 objects, 0 errors, leftover bytes distinct=[0]
FortuneSlot: 10 objects, 0 errors, leftover bytes distinct=[0]
GamblingManager: 1 objects, 0 errors, leftover bytes distinct=[0]
GlobalSettings: 1 objects, 0 errors, leftover bytes distinct=[0]
GroundEffectInfo: 58 objects, 0 errors, leftover bytes distinct=[0]
Herb: 12 objects, 0 errors, leftover bytes distinct=[0]
ItemInfo: 601 objects, 0 errors, leftover bytes distinct=[0]
ItemMod: 285 objects, 0 errors, leftover bytes distinct=[0]
ListHolderCraftingRecipes: 1 objects, 0 errors, leftover bytes distinct=[0]
ListHolderSkills: 1 objects, 0 errors, leftover bytes distinct=[0]
LootItem: 8 objects, 0 errors, leftover bytes distinct=[0]
MiscSettings: 1 objects, 0 errors, leftover bytes distinct=[0]
OreVein: 11 objects, 0 errors, leftover bytes distinct=[0]
PartyEvent: 256 objects, 0 errors, leftover bytes distinct=[0]
PickaxeInfo: 2 objects, 0 errors, leftover bytes distinct=[0]
ProfessionManager: 1 objects, 0 errors, leftover bytes distinct=[0]
QuestInfo: 54 objects, 0 errors, leftover bytes distinct=[0]
QuestModifierItem: 13 objects, 0 errors, leftover bytes distinct=[0]
QuestModifierSet: 16 objects, 0 errors, leftover bytes distinct=[0]
QuestNode: 88 objects, 0 errors, leftover bytes distinct=[0]
QuestRewardProfile: 4 objects, 0 errors, leftover bytes distinct=[0]
RoguelikeSettings: 1 objects, 0 errors, leftover bytes distinct=[0]
Shopkeeper: 23 objects, 0 errors, leftover bytes distinct=[0]
SkillInfo: 694 objects, 0 errors, leftover bytes distinct=[0]
SkillTreeManager: 1 objects, 0 errors, leftover bytes distinct=[0]
UniqueEnemySettings: 1 objects, 0 errors, leftover bytes distinct=[0]
WeaponInfo: 301 objects, 0 errors, leftover bytes distinct=[0]
ListHolderActionStatuses: 1 objects, 0 errors, leftover bytes distinct=[0]
ListHolderActions: 1 objects, 0 errors, leftover bytes distinct=[0]
ListHolderCharacters: 1 objects, 0 errors, leftover bytes distinct=[0]
ListHolderEventStatuses: 1 objects, 0 errors, leftover bytes distinct=[0]
ListHolderEvents: 1 objects, 0 errors, leftover bytes distinct=[0]
ListHolderGroundEffects: 1 objects, 0 errors, leftover bytes distinct=[0]
ListHolderItems: 1 objects, 0 errors, leftover bytes distinct=[0]
ListHolderManager: 1 objects, 0 errors, leftover bytes distinct=[0]
ListHolderShopkeepers: 1 objects, 0 errors, leftover bytes distinct=[0]
EXTRACT DONE 0
